Broker    Stock          Value     Changes   Date and Time
Broker 2  Banking        101       6         3/7/21 10:23:13 PM
Broker 3  Banking        101       6         3/7/21 10:23:13 PM
Broker 4  Banking        101       6         3/7/21 10:23:13 PM
Broker 2  Commodity      552       7         3/7/21 10:23:14 PM
Broker 4  Commodity      552       7         3/7/21 10:23:14 PM
Broker 2  Banking        102       7         3/7/21 10:23:14 PM
Broker 3  Banking        102       7         3/7/21 10:23:14 PM
Broker 4  Banking        102       7         3/7/21 10:23:14 PM
Broker 1  Technology     177       8         3/7/21 10:23:14 PM
Broker 2  Technology     177       8         3/7/21 10:23:14 PM
Broker 3  Technology     177       8         3/7/21 10:23:14 PM
Broker 2  Commodity      571       8         3/7/21 10:23:14 PM
Broker 4  Commodity      571       8         3/7/21 10:23:14 PM
Broker 4  Technology     177       8         3/7/21 10:23:14 PM
Broker 2  Banking        105       8         3/7/21 10:23:14 PM
Broker 3  Banking        105       8         3/7/21 10:23:14 PM
Broker 4  Banking        105       8         3/7/21 10:23:14 PM
Broker 1  Technology     181       9         3/7/21 10:23:15 PM
Broker 2  Commodity      577       9         3/7/21 10:23:15 PM
Broker 4  Commodity      577       9         3/7/21 10:23:15 PM
Broker 2  Technology     181       9         3/7/21 10:23:15 PM
Broker 3  Technology     181       9         3/7/21 10:23:15 PM
Broker 4  Technology     181       9         3/7/21 10:23:15 PM
Broker 2  Banking        108       9         3/7/21 10:23:15 PM
Broker 3  Banking        108       9         3/7/21 10:23:15 PM
Broker 4  Banking        108       9         3/7/21 10:23:15 PM
Broker 2  Commodity      592       10        3/7/21 10:23:15 PM
Broker 1  Technology     182       10        3/7/21 10:23:15 PM
Broker 2  Technology     182       10        3/7/21 10:23:15 PM
Broker 3  Technology     182       10        3/7/21 10:23:15 PM
Broker 4  Technology     182       10        3/7/21 10:23:15 PM
Broker 4  Commodity      592       10        3/7/21 10:23:15 PM
Broker 2  Banking        109       10        3/7/21 10:23:15 PM
Broker 3  Banking        109       10        3/7/21 10:23:15 PM
Broker 4  Banking        109       10        3/7/21 10:23:15 PM
Broker 1  Technology     183       11        3/7/21 10:23:16 PM
Broker 2  Technology     183       11        3/7/21 10:23:16 PM
Broker 2  Commodity      592       11        3/7/21 10:23:16 PM
Broker 4  Commodity      592       11        3/7/21 10:23:16 PM
Broker 3  Technology     183       11        3/7/21 10:23:16 PM
Broker 4  Technology     183       11        3/7/21 10:23:16 PM
Broker 2  Banking        111       11        3/7/21 10:23:16 PM
Broker 3  Banking        111       11        3/7/21 10:23:16 PM
Broker 4  Banking        111       11        3/7/21 10:23:16 PM
Broker 2  Commodity      610       12        3/7/21 10:23:16 PM
Broker 4  Commodity      610       12        3/7/21 10:23:16 PM
Broker 1  Technology     183       12        3/7/21 10:23:16 PM
